Name,Orig Name,IPDB ID,Manufacturer,Date Manufactured,Players,Type,Theme
7-Up,7-Up,4433,Talleres del Llobregat S.A. [Automaticos],1970,1,EM,Playing Dice
8 Ball,8 Ball,764,Williams Electronic Manufacturing Company,17-Jan-66,2,EM,Billiards
A Circus,A Circus,5385,Colonial Specialties Company,"December, 1932",1,ME,
A Circus,A Circus,5389,Ace Novelty Company,"October, 1932",1,ME,
A-B-C,A-B-C,2875,United Manufacturing Company,"March, 1951",1,EM,
A-B-C Bowler,A-B-C Bowler,1,D. Gottlieb & Company,"August, 1941",1,EM,Sports - Bowling
A-Go-Go,A-Go-Go,27,Williams Electronic Manufacturing Company,25-May-66,4,EM,Happiness - Dancing
A-MAZE-ING Baseball,A-MAZE-ING Baseball,4957,Alvin G. and Company,1994,1,SS,Sports - Baseball
A.B.C.,A.B.C.,4315,A.B.T. Manufacturing Company,"February, 1936",1,EM,
A.G. Football,A.G. Football,2886,Alvin G. and Company,"October, 1992",2,SS,Sports - Football - Futbol - Soccer
A.G. Soccer-Ball,A.G. Soccer-Ball,120,Alvin G. and Company,"October, 1991",2,SS,Sports - Soccer
Aaron Spelling,Aaron Spelling,4339,"Data East Pinball, Incorporated","February, 1992",4,SS,
ABC Roll,ABC Roll,4519,Champion Games,1946,1,EM,
Abra Ca Dabra,Abra Ca Dabra,2,D. Gottlieb & Company,"November, 1975",1,EM,Wizard/Magic
Abra Ca Dabra,Abra Ca Dabra,2876,D. Gottlieb & Company,"October, 1971",1,EM,
AC/DC (Let There Be Rock Limited Edition),AC/DC (Let There Be Rock Limited Edition),5776,"Stern Pinball, Incorporated","March, 2012",4,SS,Licensed Theme - Music
AC/DC (LUCI Premium),AC/DC (LUCI Premium),6060,"Stern Pinball, Incorporated","December, 2013",4,SS,Licensed Theme - Music
AC/DC (LUCI Vault Edition),AC/DC (LUCI Vault Edition),6502,"Stern Pinball, Incorporated","February, 2018",4,SS,Licensed Theme - Music
AC/DC (Premium Vault Edition),AC/DC (Premium Vault Edition),6440,"Stern Pinball, Incorporated","July, 2017",4,SS,Licensed Theme - Music
AC/DC (Premium),AC/DC (Premium),5775,"Stern Pinball, Incorporated","March, 2012",4,SS,Licensed Theme - Music
AC/DC (Pro LED),AC/DC (Pro LED),6441,"Stern Pinball, Incorporated",2014,4,SS,Licensed Theme - Music
AC/DC (Pro Vault Edition),AC/DC (Pro Vault Edition),6439,"Stern Pinball, Incorporated","May, 2017",4,SS,Licensed Theme - Music
