Name,AltName,Manufacturer,ManufacturerShort,Year,Players,Type,Theme,IPDBID
"Adventures of Rocky and Bullwinkle and Friends","","Data East Pinball, Incorporated","Data East","1993","4","SS","Cartoon","23"
"Aerobatics","","Zaccaria","Zaccaria","1977","1","EM","","24"
"Aerosmith (Limited Edition)","Aerosmith","Stern Pinball, Incorporated","Stern","2017","4","SS","Licensed Theme - Music – Singing","6372"
"Aerosmith (Premium)","Aerosmith","Stern Pinball, Incorporated","Stern","2017","4","SS","Licensed Theme - Music – Singing","6371"
"Aerosmith (Pro)","Aerosmith","Stern Pinball, Incorporated","Stern","2017","4","SS","Licensed Theme - Music – Singing","6370"
"Af-Tor","","Wico Corporation","Wico Corporation","1984","4","SS","","25"
"Africa Queen","","Europlay","Europlay","","1","EM","Fantasy","5114"
"Agate Game","","Dewey Coin Machine Company","Dewey Coin Machine Company","","1","ME","","5349"
"Agents 777","","Game Plan, Incorporated","Game Plan","1984","4","SS","Cartoon - Crime","26"
"Air Aces","","Bally Manufacturing Corporation","Bally","1975","4","EM","Adventure - Aviation - Combat - Military - Warfare","28"
"Air Circus","","Exhibit Supply Company","Exhibit Supply Company","1942","1","EM","Army - Aircraft - Aviation - Navy - Warfare","29"
"Air Command","","","Unknown","","","","","4662"
"Air Derby","","Western Equipment & Supply Company","Western Equipment & Supply Company","1937","1","EM","Aircraft - Airplanes - Airports - Aviation - Flying","2881"
"Air Force","","Bally Manufacturing Corporation","Bally","1941","1","EM","Aviation - Combat - Military - Historical - Wartime - Warfare - World War II","2882"
"Air Lane","","Bally Manufacturing Corporation","Bally","1936","1","EM","Aircraft - Airplanes - Airports - Aviation - Flying","30"
"Air Races","","Atlas Indicator Works Incorporated","Atlas Indicator Works Incorporated","1932","1","ME","Aviation","31"
"Air Races","","Stoner Manufacturing Company","Stoner Manufacturing Company","1937","1","EM","Wartime","32"
"Air Raid","","","","","1","EM","Combat - Military - Warfare","4929"
"Air Raid Defense","","Gotham Pressed Steel Corporation","Gotham Pressed Steel Corporation","","1","ME","Warfare","4886"
"Airborne","","J. Esteban","J. Esteban","","4","EM","Aviation","5133"
"Airborne","","Capcom Coin-Op, Incorporated","Capcom","1996","4","SS","Aviation","3783"
"Airborne Avenger","","Atari, Incorporated","Atari","1977","4","SS","Adventure - Combat","33"
"Airliner","","Exhibit Supply Company","Exhibit Supply Company","1939","1","EM","","34"
"Airport","","D. Gottlieb & Company","Gottlieb","1969","2","EM","Travel","35"
"Airport","","Genco Manufacturing Company","Genco Manufacturing Company","1939","1","EM","Aircraft - Airplanes - Airports - Aviation - Flying","36"
"Airway","","Bally Manufacturing Corporation","Bally","1933","1","ME","Aviation","37"
"Airway of 1937","","Bally Manufacturing Corporation","Bally","1937","1","EM","Aviation","38"
"Airways","","Lindstrom Tool and Toy Company","Lindstrom Tool and Toy Company","1934","1","ME","","4775"
"Ak-Sar-Ben","","Western Equipment & Supply Company","Western Equipment & Supply Company","1937","1","EM","Sports - Horse Racing","39"
"Al Capone","","LTD do Brasil Diversões Eletrônicas Ltda","LTD do Brasil Diversões Eletrônicas Ltda","","4","SS","American History - Cards/Gambling","5176"
"Al's Garage Band Goes On a World Tour","","Alvin G. and Company","Alvin G.","1992","4","SS","Music - Singing","3513"
"Alabama Crimson Tide","","","Unknown","2004","4","EM","Sports - Football","4998"
"Aladdin's Castle","","Bally Manufacturing Corporation","Bally","1976","2","EM","Fantasy - Myth and Legend","40"
"Alamo","","Rock-ola Manufacturing Corporation","Rock-ola Manufacturing Corporation","1936","1","EM","American Places - Historical","41"
"Alamo","","Joseph Schneider Incorporated","Joseph Schneider Incorporated","","1","ME","American Places - History","4916"
"Alarm","","T.H. Bergmann & Company","T.H. Bergmann & Company","1958","1","EM","","2867"
"Alaska","","Interflip S. A.","Interflip S. A.","1978","4","SS","American Places","3888"
"Alaska","","Recreativos Franco","Recreativos Franco","","1","EM","","4650"
"Alert","","Arco Sales Co.","Arco Sales Co.","1942","1","EM","Military - Warfare - World War II","3830"
"Algar","","Williams Electronics, Incorporated","Williams","1980","4","SS","Fantasy","42"
"Ali","","Stern Electronics, Incorporated","Stern","1980","4","SS","Sports - Boxing - Licensed Theme","43"
"Ali Baba","","Sega Enterprises, Ltd.","Sega","1973","2","EM","Fantasy - Myth and Legend","44"
"Ali-Baba","","D. Gottlieb & Company","Gottlieb","1948","1","EM","Fantasy - Myth and Legend","45"
"Ali-Baba","","Stoner Manufacturing Company","Stoner Manufacturing Company","1939","1","EM","Fantasy - Myth and Legend","46"
"Alice in Wonderland","","D. Gottlieb & Company","Gottlieb","1948","1","EM","Fictional Characters","47"
"Alien (Standard Edition)","Alien","Heighway Pinball, Ltd.","Heighway Pinball, Ltd.","2017","4","SS","Licensed Theme - Science Fiction","6419"
"Alien Poker","","Williams Electronics, Incorporated","Williams","1980","4","SS","Fantasy - Outer Space - Cards - Gambling","48"
"Alien Space","","Atari, Incorporated","Atari","","4","SS","","6543"
"Alien Star","","Mylstar Electronics, Incorporated","Mylstar Electronics, Incorporated","1984","4","SS","Outer Space - Fantasy","49"
"Alien Warrior","","LTD do Brasil Diversões Eletrônicas Ltda","LTD do Brasil Diversões Eletrônicas Ltda","","4","SS","Aliens - Fantasy - Outer Space","5882"
"Alive","","Brunswick Manufacturing Company","Brunswick Manufacturing Company","1978","4","SS","Music","50"
"All American","","Chicago Coin Machine Manufacturing Company","Chicago Coin","1940","1","EM","Sports - Football","51"
"All American","","Rock-ola Manufacturing Corporation","Rock-ola Manufacturing Corporation","1934","1","ME","","4200"
"All American Derby","","Illinois Novelty Co.","Illinois Novelty Co.","1943","1","EM","","5418"
"All American Football","","Peo Manufacturing Corporation","Peo Manufacturing Corporation","1935","1","EM","Sports - Football","4948"
"All American Odd Ball","","All American Amusements","All American Amusements","1988","1","SS","","3682"
"All Out","","Sullivan-Nolan Advertising Company [WWII Conversions Only]","Sullivan-Nolan Advertising Company [WWII Conversions Only]","1943","1","EM","","3840"
"All Star Baseball","","Chicago Coin Machine Manufacturing Company","Chicago Coin","1962","2","EM","Sports - Baseball","53"
"All Star Baseball","","Williams Manufacturing Company","Williams","1954","6","EM","Sports - Baseball","2869"
"All Star Baseball","","Valley Dynamo","Valley Dynamo","2017","2","SS","Sports - Baseball","6504"
"All Stars","","Chicago Coin Machine Manufacturing Company","Chicago Coin","1968","2","EM","Sports - Baseball","55"
"All Stars","","A.B.T. Manufacturing Company","A.B.T. Manufacturing Company","1935","1","EM","Sports - Football","56"
"All Stars","","Bally Manufacturing Corporation","Bally","1936","1","EM","","57"
"All Stars","","Williams Manufacturing Company","Williams","1947","1","EM","Sports - Baseball","2870"
"All Stars","","D. Gottlieb & Company","Gottlieb","1972","1","EM","","3744"
"All The Way","","Bally Manufacturing Corporation","Bally","1964","2","EM","Circus/Carnival","6278"
"All-American","","Dixie Music Co.","Dixie Music Co.","1933","1","ME","","58"
